,Mun_Ori,Mun_Des,O_long,O_lat,D_long,D_lat,Lat_pueblo_O,Long_pueblo_O,Lat_pueblo_D,Long_pueblo_D
0,Ordizia,Lasarte-Oria,-2.185568795899589,43.05325017019918,-2.022158145420893,43.27020030359714,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
1,Ordizia,Lasarte-Oria,-2.185310458620421,43.04608480662005,-2.020837390222267,43.27123074979807,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
2,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.021995143684293,43.26858985891135,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
3,Ordizia,Lasarte-Oria,-2.1767537749420933,43.05408931379654,-2.003685999749856,43.26081091936175,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
4,Ordizia,Lasarte-Oria,-2.1780858334745066,43.05353581652541,-2.018444481563574,43.27020219795848,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
5,Ordizia,Lasarte-Oria,-2.174759652848935,43.052157386128094,-2.0214939063528217,43.27169997528196,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
6,Ordizia,Lasarte-Oria,-2.178713604158748,43.05491665713262,-2.022120357121324,43.27114811551164,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
7,Ordizia,Lasarte-Oria,-2.178713604158748,43.05491665713262,-2.0183063883086287,43.26938123195768,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
8,Ordizia,Lasarte-Oria,-2.180699333885956,43.054592155199856,-2.0207209712937524,43.26617737749583,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
9,Ordizia,Lasarte-Oria,-2.17903007659995,43.05188728552116,-2.021995143684293,43.26858985891135,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
10,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.017096791852586,43.25976092979944,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
11,Ordizia,Lasarte-Oria,-2.185568795899589,43.05325017019918,-2.006193554316124,43.27070478081426,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
12,Ordizia,Lasarte-Oria,-2.174759652848935,43.052157386128094,-2.018920614591305,43.26583896057308,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
13,Ordizia,Lasarte-Oria,-2.184077332486524,43.04718538345176,-2.006315914916311,43.26621941309514,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
14,Ordizia,Lasarte-Oria,-2.1807686476850585,43.04938144859165,-2.0230065800124617,43.26917215076814,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
15,Ordizia,Lasarte-Oria,-2.1807686476850585,43.04938144859165,-2.0184543526434515,43.264022460934655,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
16,Ordizia,Lasarte-Oria,-2.1828594658664198,43.04733292112908,-2.0087673354431206,43.27279213377535,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
17,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.012197292552428,43.27206368957552,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
18,Ordizia,Lasarte-Oria,-2.1807686476850585,43.04938144859165,-2.0090154250032626,43.273520985945936,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
19,Ordizia,Lasarte-Oria,-2.184600164316043,43.047187323950446,-2.02117979164483,43.26918382956144,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
20,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.011460633690629,43.26982722563766,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
21,Ordizia,Lasarte-Oria,-2.1669156024122302,43.05508164103368,-2.023490780800849,43.26949375347661,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
22,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.018444481563574,43.27020219795848,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
23,Ordizia,Lasarte-Oria,-2.1780858334745066,43.05353581652541,-2.01422704742506,43.26337972381069,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
24,Ordizia,Lasarte-Oria,-2.1828594658664198,43.04733292112908,-2.017077892044649,43.26226627029158,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
25,Ordizia,Lasarte-Oria,-2.1828594658664198,43.04733292112908,-2.0113020477203234,43.27144070524432,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
26,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.0162000929823245,43.26162646978849,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
27,Ordizia,Lasarte-Oria,-2.1743738687549663,43.05233981450124,-2.019173235837592,43.252745560656905,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
28,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.020938672803273,43.27104596296007,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
29,Ordizia,Lasarte-Oria,-2.1743738687549663,43.05233981450124,-2.0117457326460686,43.27021938182272,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
30,Ordizia,Lasarte-Oria,-2.184600164316043,43.047187323950446,-2.021995143684293,43.26858985891135,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
31,Ordizia,Lasarte-Oria,-2.1792259892944754,43.05028077019748,-2.018564847968485,43.26877559518463,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
32,Ordizia,Lasarte-Oria,-2.184077332486524,43.04718538345176,-2.015945656464462,43.25949414550163,43.0637579709383,-2.1818318125,43.263787380437,-2.01193141046
