Poblacion ORIGEN,Poblacion DESTINO,Saltos
Pasaia,Pasaia,1
Pasaia,Errenteria,1
Pasaia,Oiartzun,1
Pasaia,Lezo,1
Pasaia,Irun,2
Errenteria,Eibar,3
Errenteria,Elgoibar,3
Errenteria,Mendaro,3
Errenteria,Deba,3
Errenteria,Zestoa,2
Errenteria,Zumaia,2
Errenteria,Zarautz,2
Errenteria,Orio,2
Errenteria,Usurbil,1
Errenteria,Donostia/San Sebastian,1
Errenteria,Lasarte-Oria,1
Errenteria,Pasaia,1
Errenteria,Errenteria,1
Errenteria,Oiartzun,1
Errenteria,Lezo,1
Errenteria,Irun,2
Oiartzun,Eibar,3
Oiartzun,Elgoibar,3
Oiartzun,Mendaro,3
Oiartzun,Deba,3
Oiartzun,Zestoa,2
Oiartzun,Zumaia,2
Oiartzun,Zarautz,2
Oiartzun,Orio,2
Oiartzun,Usurbil,1
Oiartzun,Donostia/San Sebastian,1
Oiartzun,Lasarte-Oria,1
Oiartzun,Pasaia,1
Oiartzun,Errenteria,1
Oiartzun,Oiartzun,1
Oiartzun,Lezo,1
Oiartzun,Irun,2
Lezo,Eibar,3
Lezo,Elgoibar,3
Lezo,Mendaro,3
Lezo,Deba,3
Lezo,Zestoa,2
Lezo,Zumaia,2
Lezo,Zarautz,2
Lezo,Orio,2
Lezo,Usurbil,1
Lezo,Donostia/San Sebastian,1
Lezo,Lasarte-Oria,1
Lezo,Pasaia,1
Lezo,Errenteria,1
Lezo,Oiartzun,1
Lezo,Lezo,1
Lezo,Irun,2
Irun,Eibar,4
Irun,Elgoibar,4
Irun,Mendaro,4
Irun,Deba,4
Irun,Zestoa,3
Irun,Zumaia,3
Irun,Zarautz,3
Irun,Orio,3
Irun,Usurbil,2
Irun,Donostia/San Sebastian,2
Irun,Lasarte-Oria,2
Irun,Pasaia,2
Irun,Errenteria,2
Irun,Oiartzun,2
Irun,Lezo,2
Irun,Irun,1
