COMARCA ORI,COMARCA DES,Saltos
Urola Erdia,Goierri,1.0
Urola Erdia,Debagoiena,
Urola Erdia,Urola Erdia,0.0
Urola Erdia,Lekeitio-Berriatua,
Urola Erdia,Araba,
Urola Erdia,Vitoria-Gasteiz,
Lekeitio-Berriatua,Bidasoa,
Lekeitio-Berriatua,Donostialdea,3.0
Lekeitio-Berriatua,Urola Kosta,2.0
Lekeitio-Berriatua,Debabarrena,1.0
Lekeitio-Berriatua,Durangaldea,
Lekeitio-Berriatua,Arratia-Amorebieta,
Lekeitio-Berriatua,Bilbao,
Lekeitio-Berriatua,Tolosaldea,
Lekeitio-Berriatua,Goierri,
Lekeitio-Berriatua,Debagoiena,
Lekeitio-Berriatua,Urola Erdia,
Lekeitio-Berriatua,Lekeitio-Berriatua,0.0
Lekeitio-Berriatua,Araba,
Lekeitio-Berriatua,Vitoria-Gasteiz,
Araba,Bidasoa,
Araba,Donostialdea,4.0
Araba,Urola Kosta,
Araba,Debabarrena,2.0
Araba,Durangaldea,
Araba,Arratia-Amorebieta,
Araba,Bilbao,
Araba,Tolosaldea,
Araba,Goierri,
Araba,Debagoiena,1.0
Araba,Urola Erdia,
Araba,Lekeitio-Berriatua,
Araba,Araba,0.0
Araba,Vitoria-Gasteiz,1.0
Vitoria-Gasteiz,Bidasoa,
Vitoria-Gasteiz,Donostialdea,5.0
Vitoria-Gasteiz,Urola Kosta,4.0
Vitoria-Gasteiz,Debabarrena,3.0
Vitoria-Gasteiz,Durangaldea,
Vitoria-Gasteiz,Arratia-Amorebieta,
Vitoria-Gasteiz,Bilbao,
Vitoria-Gasteiz,Tolosaldea,
Vitoria-Gasteiz,Goierri,
Vitoria-Gasteiz,Debagoiena,2.0
Vitoria-Gasteiz,Urola Erdia,
Vitoria-Gasteiz,Lekeitio-Berriatua,
Vitoria-Gasteiz,Araba,1.0
Vitoria-Gasteiz,Vitoria-Gasteiz,0.0
