Referencia,Destinos,Porcentajes,Superficie Total,Mun
3868074,"['Vivienda', 'Trastero']","[33.33, 66.67]","[84, 168]",55
3868075,"['Vivienda', 'Trastero', 'Duplex']","[16.78, 49.23, 34.0]","[76, 223, 154]",55
3868077,['Solar'],[100.0],[2000],55
3868078,"['Garaje Cerrado', 'Vivienda']","[3.52, 96.48]","[73, 1998]",55
3868079,['Religioso'],[100.0],[459],55
3869001,['Solar'],[100.0],[6839],55
3869002,['Industrial'],[100.0],[1234],55
3869003,['Solar'],[100.0],[6300],55
3869004,"['Agropecuario', 'Vivienda', 'Trastero']","[22.39, 58.96, 18.66]","[180, 474, 150]",55
3869005,['Solar'],[100.0],[2900],55
3869006,['Solar'],[100.0],[78395],55
3869007,"['Agropecuario', 'Vivienda', 'Trastero']","[26.8, 56.74, 16.47]","[179, 379, 110]",55
3869008,['Solar'],[100.0],[3050],55
3869009,"['Vivienda', 'Garaje Cerrado']","[60.15, 39.85]","[160, 106]",55
3964001,"['Vivienda', 'Agropecuario']","[55.56, 44.44]","[130, 104]",13
3964002,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[38.19, 45.38, 16.43]","[186, 221, 80]",13
3964003,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Agropecuario']","[67.98, 12.18, 5.89, 13.95]","[692, 124, 60, 142]",13
3964004,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[41.12, 49.53, 9.35]","[220, 265, 50]",13
3964005,['Educativo'],[100.0],[8015],13
3964008,"['Vivienda', 'Garaje Cerrado', 'Terraza']","[73.52, 14.08, 12.39]","[261, 50, 44]",13
3964009,"['Vivienda', 'Garaje Cerrado', 'Jardin']","[33.87, 4.26, 61.88]","[191, 24, 349]",13
3964010,"['Vivienda', 'Jardin', 'Garaje Cerrado']","[27.72, 69.4, 2.88]","[308, 771, 32]",13
3964011,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[45.12, 23.64, 31.24]","[208, 109, 144]",13
3964016,"['Industrial', 'Oficina', 'Almacen', 'Plaza Parking']","[44.08, 4.99, 1.4, 49.53]","[12571, 1422, 399, 14125]",13
3965001,"['Vivienda', 'Agropecuario']","[55.73, 44.27]","[175, 139]",13
3965002,['Solar'],[100.0],[4982],13
3965003,['Solar'],[100.0],[2809],13
3965004,['Solar'],[100.0],[6209],13
3965005,['Religioso'],[100.0],[215],13
3965006,"['Cultural', 'Religioso', 'Agropecuario']","[51.19, 32.38, 16.43]","[215, 136, 69]",13
3965007,['Vivienda'],[100.0],[705],13
3965008,"['Vivienda', 'Hosteleria', 'Trastero']","[40.58, 30.43, 28.99]","[280, 210, 200]",13
3965009,"['Vivienda', 'Almacen', 'Agropecuario', 'Trastero']","[77.52, 7.93, 5.45, 9.09]","[469, 48, 33, 55]",13
3965010,"['Agropecuario', 'Vivienda']","[71.18, 28.82]","[494, 200]",13
3965011,"['Vivienda', 'Garaje Cerrado']","[67.83, 32.17]","[78, 37]",13
3965012,['Religioso'],[100.0],[181],13
3966001,"['Vivienda', 'Agropecuario']","[12.39, 87.61]","[56, 396]",13
3966002,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[57.26, 7.98, 34.76]","[402, 56, 244]",13
3966003,"['Vivienda', 'Agropecuario']","[32.38, 67.62]","[136, 284]",13
3966004,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Trastero']","[32.86, 43.82, 11.31, 12.01]","[93, 124, 32, 34]",13
3966005,"['Vivienda', 'Agropecuario']","[18.18, 81.82]","[64, 288]",13
3966006,"['Vivienda', 'Agropecuario']","[16.67, 83.33]","[70, 350]",13
3966007,"['Vivienda', 'Agropecuario']","[13.39, 86.61]","[180, 1164]",13
3966008,['Agropecuario'],[100.0],[82],13
3966009,"['Vivienda', 'Agropecuario']","[23.47, 76.53]","[115, 375]",13
3966010,"['Vivienda', 'Garaje Cerrado']","[69.58, 30.42]","[183, 80]",13
3966011,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Terraza', 'Agropecuario']","[15.38, 31.01, 6.2, 6.2, 41.21]","[181, 365, 73, 73, 485]",13
3966012,['Almacen'],[100.0],[172],13
3967001,"['Vivienda', 'Agropecuario']","[51.92, 48.08]","[216, 200]",55
3967005,"['Agropecuario', 'Vivienda']","[61.24, 38.76]","[316, 200]",55
3967010,"['Vivienda', 'Almacen']","[60.91, 39.09]","[240, 154]",55
3968002,"['Agropecuario', 'Vivienda', 'Trastero']","[30.82, 38.37, 30.82]","[102, 127, 102]",55
3968003,"['Oficina', 'Industrial']","[12.86, 87.14]","[1990, 13486]",55
3968004,['Solar'],[100.0],[16518],55
3968005,"['Vivienda', 'Garaje Cerrado']","[86.76, 13.24]","[177, 27]",55
3968006,"['Trastero', 'Vivienda', 'Garaje Cerrado']","[43.75, 47.5, 8.75]","[105, 114, 21]",55
3968007,['Solar'],[100.0],[281],55
3968008,"['Vivienda', 'Trastero', 'Duplex', 'Terraza']","[60.86, 8.22, 19.41, 11.51]","[185, 25, 59, 35]",55
3968009,"['Vivienda', 'Trastero', 'Terraza']","[75.43, 17.3, 7.27]","[218, 50, 21]",55
3968010,"['Garaje Cerrado', 'Vivienda']","[25.32, 74.68]","[100, 295]",55
3968011,"['Garaje Cerrado', 'Vivienda', 'Trastero']","[24.85, 42.69, 32.46]","[170, 292, 222]",55
3968012,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Jardin']","[23.27, 18.19, 2.4, 56.14]","[165, 129, 17, 398]",55
3968013,"['Cultural', 'Agropecuario']","[94.85, 5.15]","[258, 14]",55
3968014,['Solar'],[100.0],[38],55
3968015,['Deposito'],[100.0],[12],55
3968016,['Almacen'],[100.0],[32],55
3968017,"['Industrial', 'Oficina', 'Almacen']","[58.9, 24.59, 16.51]","[685, 286, 192]",55
3968019,"['Oficina', 'Industrial']","[18.13, 81.87]","[192, 867]",55
3968020,['Industrial'],[100.0],[2735],55
3968021,['Industrial'],[100.0],[1151],55
3968022,"['Industrial', 'Oficina', 'Almacen']","[84.65, 8.0, 7.35]","[25402, 2400, 2207]",55
3968023,['Industrial'],[100.0],[6402],55
3968025,"['Industrial', 'Almacen', 'Oficina', 'Plaza Parking']","[39.59, 4.59, 40.42, 15.4]","[4374, 507, 4466, 1702]",55
3968027,"['Oficina', 'Industrial']","[23.04, 76.96]","[314, 1049]",55
3968028,['Solar'],[100.0],[1722],55
3968031,['Vivienda'],[100.0],[235],55
3968034,['Solar'],[100.0],[2037],55
3968035,['Solar'],[100.0],[3403],55
3968036,['Solar'],[100.0],[20425],55
3968037,['Solar'],[100.0],[6585],55
3968038,['Solar'],[100.0],[506],55
3968039,['Solar'],[100.0],[542],55
3968040,['Solar'],[100.0],[263],55
3968041,['Trastero'],[100.0],[34],55
3968042,"['Vivienda', 'Almacen']","[63.67, 36.33]","[177, 101]",55
3968043,"['Almacen', 'Vivienda', 'Trastero']","[33.33, 33.33, 33.33]","[190, 190, 190]",55
3968044,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[61.86, 27.97, 10.17]","[146, 66, 24]",55
3968045,['Cultural'],[100.0],[525],55
3968046,"['Vivienda', 'Trastero']","[66.67, 33.33]","[106, 53]",55
3968047,['Local Comercial'],[100.0],[75],55
3968048,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[61.92, 30.96, 7.12]","[174, 87, 20]",55
3968049,"['Vivienda', 'Trastero']","[66.86, 33.14]","[226, 112]",55
3968050,"['Agropecuario', 'Vivienda', 'Trastero']","[28.35, 59.84, 11.81]","[72, 152, 30]",55
3968051,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Agropecuario']","[48.58, 18.98, 9.49, 22.96]","[256, 100, 50, 121]",55
3968052,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[57.82, 28.91, 13.26]","[218, 109, 50]",55
3968053,"['Vivienda', 'Trastero']","[70.59, 29.41]","[240, 100]",55
3968054,['Solar'],[100.0],[68],55
3968055,"['Religioso', 'Trastero']","[96.91, 3.09]","[376, 12]",55
3968056,"['Vivienda', 'Almacen', 'Trastero']","[45.5, 24.82, 29.68]","[374, 204, 244]",55
3968057,['Solar'],[100.0],[444],55
3968058,"['Agropecuario', 'Vivienda', 'Trastero']","[43.22, 36.8, 19.97]","[303, 258, 140]",55
3968059,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[75.5, 20.08, 4.42]","[376, 100, 22]",55
3968060,"['Garaje Cerrado', 'Trastero', 'Vivienda']","[10.03, 48.33, 41.64]","[60, 289, 249]",55
3968061,"['Garaje Cerrado', 'Trastero', 'Vivienda', 'Jardin']","[20.12, 19.63, 21.47, 38.77]","[164, 160, 175, 316]",55
3968062,"['Vivienda', 'Local Comercial', 'Trastero']","[80.47, 8.08, 11.45]","[239, 24, 34]",55
3968063,['Solar'],[100.0],[253],55
3968064,"['Oficina', 'Industrial', 'Almacen', 'Deposito', 'Plaza Parking']","[3.81, 57.77, 21.56, 0.3, 16.56]","[3374, 51152, 19087, 265, 14661]",55
3968065,"['Vivienda', 'Garaje Cerrado', 'Trastero', 'Almacen']","[38.2, 13.11, 28.46, 20.22]","[102, 35, 76, 54]",55
3968066,"['Agropecuario', 'Vivienda', 'Trastero']","[30.77, 61.54, 7.69]","[200, 400, 50]",55
3968067,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[76.86, 19.61, 3.53]","[392, 100, 18]",55
3968068,['Industrial'],[100.0],[7885],55
3968069,"['Vivienda', 'Trastero']","[68.4, 31.6]","[277, 128]",55
3968070,"['Trastero', 'Vivienda']","[50.0, 50.0]","[202, 202]",55
3968071,['Solar'],[100.0],[631],55
3968072,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[53.61, 39.16, 7.22]","[141, 103, 19]",55
3968073,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[40.18, 29.91, 29.91]","[274, 204, 204]",55
3968074,['Solar'],[100.0],[376],55
3968075,['Solar'],[100.0],[54],55
3968076,['Solar'],[100.0],[781],55
3968077,['Solar'],[100.0],[218],55
3968078,['Vivienda'],[100.0],[178],55
3968079,"['Vivienda', 'Garaje Cerrado']","[77.91, 22.09]","[134, 38]",55
3968081,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[62.64, 22.99, 14.37]","[436, 160, 100]",55
3968082,"['Garaje Cerrado', 'Vivienda', 'Trastero']","[31.25, 57.03, 11.72]","[80, 146, 30]",55
3968083,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[66.11, 14.23, 19.67]","[158, 34, 47]",55
3968084,['Solar'],[100.0],[535],55
3968085,['Solar'],[100.0],[616],55
