Referencia,Destinos,Porcentajes,Superficie Total,Mun
4482134,['Vivienda'],[100.0],[592],30
4482136,"['Oficina', 'Obras Urbanizacion']","[0.85, 99.15]","[25, 2900]",30
4483001,['Solar'],[100.0],[880],30
4483002,"['Vivienda', 'Trastero', 'Agropecuario']","[52.8, 20.98, 26.22]","[302, 120, 150]",30
4483003,"['Vivienda', 'Agropecuario']","[28.91, 71.09]","[170, 418]",30
4483004,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[35.86, 12.18, 51.95]","[156, 53, 226]",30
4483005,"['Vivienda', 'Almacen', 'Garaje Cerrado']","[65.42, 4.55, 30.02]","[316, 22, 145]",30
4483006,['Solar'],[100.0],[440],30
4483007,"['Vivienda', 'Agropecuario', 'Trastero']","[44.97, 22.15, 32.89]","[335, 165, 245]",30
4483008,"['Vivienda', 'Agropecuario']","[48.0, 52.0]","[240, 260]",30
4483009,['Industrial'],[100.0],[900],30
4483010,"['Industrial', 'Oficina', 'Edificabilidad']","[77.66, 14.46, 7.88]","[8388, 1562, 851]",30
4483011,"['Industrial', 'Oficina', 'Almacen']","[75.39, 23.92, 0.69]","[10379, 3293, 95]",30
4483012,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado']","[22.32, 22.32, 49.4, 5.95]","[75, 75, 166, 20]",30
4483013,['Solar'],[100.0],[440],30
4483014,"['Vivienda', 'Trastero']","[96.05, 3.95]","[632, 26]",30
4483015,['Agropecuario'],[100.0],[42],30
4484001,['Agropecuario'],[100.0],[400],30
4484002,"['Religioso', 'Almacen', 'Vivienda']","[78.57, 17.18, 4.25]","[1962, 429, 106]",30
4484003,"['Duplex', 'Agropecuario', 'Trastero', 'Vivienda']","[33.84, 33.16, 19.46, 13.54]","[200, 196, 115, 80]",30
4484004,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado']","[40.61, 35.92, 19.86, 3.61]","[225, 199, 110, 20]",30
4485001,"['Vivienda', 'Agropecuario', 'Trastero', 'Deposito', 'Garaje Cerrado']","[20.29, 70.63, 5.67, 1.36, 2.04]","[179, 623, 50, 12, 18]",32
4485002,"['Vivienda', 'Trastero']","[73.23, 26.77]","[372, 136]",32
4485003,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[12.2, 72.71, 15.09]","[80, 477, 99]",32
4485004,"['Vivienda', 'Agropecuario']","[20.69, 79.31]","[174, 667]",32
4485005,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[20.12, 70.24, 9.63]","[165, 576, 79]",32
4485006,"['Vivienda', 'Garaje Cerrado', 'Educativo']","[66.2, 4.51, 29.29]","[617, 42, 273]",32
4485007,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Deposito']","[23.23, 74.13, 1.69, 0.95]","[220, 702, 16, 9]",32
4486001,"['Vivienda', 'Agropecuario']","[22.75, 77.25]","[124, 421]",32
4558001,['Agropecuario'],[100.0],[57],59
4559001,"['Vivienda', 'Trastero', 'Agropecuario']","[21.33, 40.04, 38.63]","[196, 368, 355]",59
4560001,['Industrial'],[100.0],[545],59
4560002,['Religioso'],[100.0],[60],59
4560003,"['Vivienda', 'Trastero', 'Agropecuario']","[21.47, 34.44, 44.1]","[240, 385, 493]",59
4560004,"['Vivienda', 'Agropecuario', 'Trastero']","[13.27, 71.26, 15.46]","[103, 553, 120]",59
4560005,"['Vivienda', 'Trastero', 'Agropecuario']","[21.57, 29.67, 48.76]","[165, 227, 373]",59
4560006,"['Vivienda', 'Trastero', 'Agropecuario']","[34.4, 1.6, 64.0]","[129, 6, 240]",59
4560007,"['Vivienda', 'Trastero', 'Agropecuario']","[19.33, 40.34, 40.34]","[115, 240, 240]",59
4560008,"['Vivienda', 'Trastero', 'Agropecuario']","[28.76, 37.83, 33.41]","[130, 171, 151]",59
4560009,"['Vivienda', 'Trastero', 'Agropecuario']","[11.58, 30.89, 57.53]","[150, 400, 745]",59
4560010,"['Vivienda', 'Trastero', 'Agropecuario']","[18.34, 40.03, 41.63]","[115, 251, 261]",59
4560011,"['Vivienda', 'Garaje Cerrado', 'Almacen']","[73.18, 12.53, 14.29]","[292, 50, 57]",59
4560012,['Vivienda'],[100.0],[80],59
4560013,['Agropecuario'],[100.0],[231],59
4560014,"['Vivienda', 'Agropecuario', 'Trastero']","[15.15, 49.12, 35.73]","[120, 389, 283]",59
4562001,['Industrial'],[100.0],[400],59
4562002,"['Vivienda', 'Trastero']","[36.67, 63.33]","[110, 190]",59
4562003,"['Vivienda', 'Agropecuario', 'Trastero']","[20.03, 43.61, 36.36]","[130, 283, 236]",59
4562004,['Agropecuario'],[100.0],[246],59
4562005,"['Vivienda', 'Trastero', 'Agropecuario']","[7.23, 44.53, 48.23]","[45, 277, 300]",59
4562006,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[53.04, 32.07, 7.56, 7.33]","[463, 280, 66, 64]",59
4562007,"['Vivienda', 'Trastero', 'Agropecuario']","[32.29, 25.0, 42.71]","[155, 120, 205]",59
4562008,"['Vivienda', 'Trastero', 'Agropecuario']","[23.2, 29.04, 47.75]","[155, 194, 319]",59
4562009,['Vivienda'],[100.0],[461],59
4562010,"['Religioso', 'Agropecuario', 'Hosteleria']","[52.83, 5.66, 41.51]","[280, 30, 220]",59
4562011,['Agropecuario'],[100.0],[43],59
4563001,"['Industrial', 'Almacen', 'Garaje Cerrado']","[46.65, 46.65, 6.69]","[732, 732, 105]",59
4563002,"['Vivienda', 'Trastero', 'Agropecuario']","[25.5, 33.43, 41.08]","[180, 236, 290]",59
4563003,"['Vivienda', 'Agropecuario', 'Trastero']","[54.79, 17.81, 27.4]","[400, 130, 200]",59
4563004,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[34.69, 22.45, 32.65, 10.2]","[170, 110, 160, 50]",59
4563005,['Vivienda'],[100.0],[220],59
4563006,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[27.88, 27.88, 25.0, 19.23]","[58, 58, 52, 40]",59
4564001,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[43.66, 28.17, 22.54, 5.63]","[310, 200, 160, 40]",59
4564002,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[54.93, 11.5, 33.57]","[234, 49, 143]",59
4564003,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[41.87, 32.28, 17.02, 8.83]","[332, 256, 135, 70]",59
4565001,"['Vivienda', 'Trastero', 'Agropecuario', 'Religioso']","[25.74, 24.82, 48.35, 1.1]","[140, 135, 263, 6]",59
4567001,['Solar'],[100.0],[1635],59
4567002,['Solar'],[100.0],[252],59
4567003,"['Vivienda', 'Garaje Cerrado', 'Accesos y pasillos']","[77.74, 10.58, 11.68]","[213, 29, 32]",59
4567004,"['Garaje Cerrado', 'Trastero', 'Vivienda']","[14.29, 12.32, 73.39]","[80, 69, 411]",59
4567005,"['Industrial', 'Oficina', 'Plaza Parking', 'Obras Urbanizacion']","[53.83, 23.75, 8.44, 13.98]","[408, 180, 64, 106]",59
4567006,"['Vivienda', 'Almacen', 'Agropecuario']","[58.15, 13.33, 28.52]","[157, 36, 77]",59
4567007,['Garaje Cerrado'],[100.0],[92],59
4567008,['Solar'],[100.0],[188],59
4567009,['Solar'],[100.0],[474],59
4567010,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado', 'Terraza']","[35.37, 26.63, 23.14, 4.47, 10.39]","[538, 405, 352, 68, 158]",59
4567011,['Industrial'],[100.0],[923],59
4567012,"['Oficina', 'Industrial', 'Almacen']","[7.38, 83.24, 9.38]","[1678, 18934, 2134]",59
4567013,['Industrial'],[100.0],[5823],59
4567014,"['Garaje Cerrado', 'Vivienda', 'Trastero', 'Agropecuario']","[30.3, 30.3, 30.3, 9.09]","[100, 100, 100, 30]",59
4567015,"['Industrial', 'Accesos y pasillos']","[92.31, 7.69]","[3026, 252]",59
4567016,"['Vivienda', 'Trastero', 'Jardin']","[56.29, 31.13, 12.58]","[170, 94, 38]",59
4567017,['Vivienda'],[100.0],[405],59
4567018,['Solar'],[100.0],[384],59
4567019,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[66.16, 12.94, 20.9]","[690, 135, 218]",59
4567020,"['Vivienda', 'Garaje Cerrado']","[90.41, 9.59]","[264, 28]",59
4567021,"['Vivienda', 'Trastero', 'Agropecuario']","[22.28, 28.47, 49.26]","[180, 230, 398]",59
4567022,"['Local Comercial', 'Trastero', 'Industrial']","[68.89, 28.89, 2.22]","[310, 130, 10]",59
4567023,"['Garaje Cerrado', 'Vivienda', 'Jardin', 'Terraza']","[19.0, 51.92, 13.67, 15.42]","[228, 623, 164, 185]",59
4567024,['Vivienda'],[100.0],[429],59
4567025,"['Vivienda', 'Trastero']","[46.9, 53.1]","[227, 257]",59
4567026,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[32.73, 33.63, 33.63]","[182, 187, 187]",59
4567027,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[34.83, 52.81, 12.36]","[310, 470, 110]",59
4567028,"['Vivienda', 'Trastero']","[67.04, 32.96]","[726, 357]",59
4567029,"['Garaje Cerrado', 'Duplex', 'Trastero', 'Vivienda']","[10.81, 24.71, 43.89, 20.59]","[84, 192, 341, 160]",59
4568004,['Industrial'],[100.0],[20],59
4568005,['Solar'],[100.0],[475],59
4568006,['Garaje Cerrado'],[100.0],[40],59
4568007,['Solar'],[100.0],[1266],59
4568008,"['Vivienda', 'Trastero', 'Almacen', 'Jardin']","[19.1, 21.81, 8.26, 50.84]","[148, 169, 64, 394]",59
4568009,['Solar'],[100.0],[1350],59
4568010,['Solar'],[100.0],[620],59
4568011,['Solar'],[100.0],[397],59
4568012,['Industrial'],[100.0],[5797],59
4568016,"['Industrial', 'Oficina']","[78.79, 21.21]","[5587, 1504]",59
4568017,['Solar'],[100.0],[300],59
4568022,['Industrial'],[100.0],[3892],59
4568025,['Industrial'],[100.0],[10],59
4568026,['Solar'],[100.0],[224],59
4568044,['Solar'],[100.0],[1350],59
4568047,"['Industrial', 'Obras Urbanizacion']","[71.36, 28.64]","[4392, 1763]",59
4568048,"['Vivienda', 'Trastero']","[50.0, 50.0]","[269, 269]",59
4568049,['Industrial'],[100.0],[3829],59
4568050,"['Vivienda', 'Garaje Cerrado']","[50.0, 50.0]","[103, 103]",59
4568051,"['Vivienda', 'Trastero', 'Agropecuario', 'Jardin']","[7.76, 24.14, 13.79, 54.31]","[90, 280, 160, 630]",59
4568052,"['Industrial', 'Almacen']","[99.31, 0.69]","[9005, 63]",59
4568053,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[35.05, 54.86, 10.09]","[191, 299, 55]",59
4568054,['Religioso'],[100.0],[396],59
4568055,"['Vivienda', 'Trastero']","[86.66, 13.34]","[1364, 210]",59
4568056,"['Vivienda', 'Garaje Cerrado', 'Terraza']","[59.03, 24.76, 16.21]","[670, 281, 184]",59
4568057,"['Vivienda', 'Trastero']","[93.23, 6.77]","[702, 51]",59
4568058,"['Vivienda', 'Trastero']","[84.69, 15.31]","[498, 90]",59
4568059,['Industrial'],[100.0],[1012],59
4568060,"['Vivienda', 'Trastero', 'Terraza']","[52.78, 29.44, 17.78]","[190, 106, 64]",59
4568062,['Industrial'],[100.0],[4625],59
4568063,"['Industrial', 'Oficina']","[98.95, 1.05]","[2351, 25]",59
4568064,['Industrial'],[100.0],[287],59
4568065,['Industrial'],[100.0],[804],59
4568066,"['Vivienda', 'Trastero']","[66.67, 33.33]","[478, 239]",59
4568067,"['Trastero', 'Vivienda']","[76.87, 23.13]","[1087, 327]",59
4568068,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[57.41, 31.22, 11.38]","[434, 236, 86]",59
4568069,"['Vivienda', 'Trastero']","[28.14, 71.86]","[195, 498]",59
4568070,"['Industrial', 'Oficina']","[97.2, 2.8]","[9360, 270]",59
4568071,['Industrial'],[100.0],[130],59
4568072,"['Vivienda', 'Trastero']","[81.67, 18.33]","[392, 88]",59
4568073,"['Trastero', 'Vivienda', 'Almacen']","[26.89, 55.5, 17.61]","[252, 520, 165]",59
4568074,['Educativo'],[100.0],[304],59
4568075,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Terraza']","[45.21, 31.18, 18.49, 5.12]","[203, 140, 83, 23]",59
4568076,"['Hosteleria', 'Trastero']","[97.22, 2.78]","[175, 5]",59
4568077,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Terraza']","[91.43, 0.24, 6.55, 1.79]","[768, 2, 55, 15]",59
4568078,"['Duplex', 'Vivienda']","[64.31, 35.69]","[164, 91]",59
4568079,"['Vivienda', 'Trastero']","[72.07, 27.93]","[240, 93]",59
4568080,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[59.57, 35.65, 4.78]","[498, 298, 40]",59
4568081,['Solar'],[100.0],[463],59
4568082,['Solar'],[100.0],[463],59
4568083,['Solar'],[100.0],[463],59
4568084,['Solar'],[100.0],[628],59
4568085,['Solar'],[100.0],[1185],59
4568086,['Solar'],[100.0],[699],59
4568087,['Solar'],[100.0],[622],59
4568088,['Solar'],[100.0],[478],59
4568089,['Solar'],[100.0],[389],59
4568090,['Solar'],[100.0],[389],59
4568091,['Solar'],[100.0],[478],59
4568092,['Solar'],[100.0],[622],59
4568109,['Solar'],[100.0],[710],59
4568110,['Solar'],[100.0],[2160],59
4568111,['Solar'],[100.0],[890],59
4568112,['Solar'],[100.0],[908],59
4568113,"['Almacen', 'Industrial', 'Deposito', 'Obras Urbanizacion']","[1.97, 2.62, 1.31, 94.1]","[120, 160, 80, 5742]",59
4568114,['Industrial'],[100.0],[1443],59
4568115,['Solar'],[100.0],[7610],59
4569001,"['Vivienda', 'Agropecuario', 'Trastero']","[24.95, 45.1, 29.94]","[265, 479, 318]",59
4569002,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[21.05, 31.58, 43.86, 3.51]","[120, 180, 250, 20]",59
4569004,"['Industrial', 'Oficina']","[89.66, 10.34]","[2436, 281]",59
4569005,"['Vivienda', 'Trastero', 'Agropecuario']","[24.15, 14.49, 61.35]","[100, 60, 254]",59
4569006,"['Almacen', 'Industrial', 'Oficina']","[13.28, 84.86, 1.86]","[648, 4142, 91]",59
4569007,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Agropecuario']","[37.4, 13.82, 13.01, 35.77]","[230, 85, 80, 220]",74
4570001,['Religioso'],[100.0],[335],74
4570002,"['Vivienda', 'Agropecuario']","[48.08, 51.92]","[250, 270]",74
4570003,"['Vivienda', 'Garaje Cerrado', 'Trastero', 'Agropecuario']","[24.9, 22.31, 22.31, 30.48]","[183, 164, 164, 224]",74
4570004,"['Vivienda', 'Agropecuario']","[10.36, 89.64]","[144, 1246]",74
4570005,"['Industrial', 'Almacen', 'Obras Urbanizacion']","[6.21, 1.04, 92.75]","[441, 74, 6588]",74
4570006,['Garaje Cerrado'],[100.0],[70],74
4570007,"['Deportivo', 'Obras Urbanizacion']","[64.97, 35.03]","[382, 206]",74
4570008,['Religioso'],[100.0],[210],74
4570009,['Hosteleria'],[100.0],[260],74
4570010,"['Vivienda', 'Agropecuario']","[33.33, 66.67]","[80, 160]",74
4570011,"['Industrial', 'Oficina']","[95.5, 4.5]","[19633, 925]",74
4570012,"['Agropecuario', 'Vivienda']","[72.34, 27.66]","[340, 130]",74
4570013,['Vivienda'],[100.0],[64],74
4570014,"['Vivienda', 'Trastero']","[82.64, 17.36]","[238, 50]",74
4571001,['Industrial'],[100.0],[10],74
4571002,"['Agropecuario', 'Vivienda']","[82.07, 17.93]","[618, 135]",74
4571003,"['Agropecuario', 'Vivienda']","[66.67, 33.33]","[720, 360]",74
4572001,"['Vivienda', 'Agropecuario']","[15.37, 84.63]","[107, 589]",74
4572002,"['Vivienda', 'Industrial']","[45.23, 54.77]","[180, 218]",74
4573001,['Religioso'],[100.0],[260],74
4573002,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[45.86, 6.37, 47.77]","[216, 30, 225]",74
4573003,"['Agropecuario', 'Vivienda']","[86.3, 13.7]","[1260, 200]",74
4573004,"['Vivienda', 'Agropecuario']","[25.0, 75.0]","[100, 300]",74
4573005,"['Agropecuario', 'Vivienda', 'Trastero']","[57.74, 22.31, 19.95]","[440, 170, 152]",74
4573006,"['Vivienda', 'Garaje Cerrado', 'Almacen', 'Trastero']","[47.9, 13.46, 33.72, 4.92]","[331, 93, 233, 34]",74
4573007,"['Vivienda', 'Garaje Cerrado']","[92.23, 7.77]","[178, 15]",74
4573008,"['Agropecuario', 'Vivienda']","[61.48, 38.52]","[415, 260]",74
4573009,"['Agropecuario', 'Vivienda']","[87.87, 12.13]","[768, 106]",74
4573010,"['Vivienda', 'Agropecuario']","[8.47, 91.53]","[90, 972]",74
4573011,['Almacen'],[100.0],[264],74
4573012,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[42.38, 19.05, 30.63, 7.94]","[267, 120, 193, 50]",74
4575001,['Religioso'],[100.0],[23],74
4575002,['Solar'],[100.0],[261],74
4575003,['Solar'],[100.0],[1405],74
4575004,['Industrial'],[100.0],[962],74
4575005,"['Industrial', 'Oficina']","[92.92, 7.08]","[971, 74]",74
4575006,['Solar'],[100.0],[4300],74
4575007,['Solar'],[100.0],[199],74
4575008,['Solar'],[100.0],[2199],74
4575009,"['Oficina', 'Almacen', 'Industrial']","[21.98, 39.67, 38.35]","[849, 1532, 1481]",74
4575010,['Solar'],[100.0],[82],74
4575011,"['Vivienda', 'Agropecuario']","[29.33, 70.67]","[220, 530]",74
4575012,['Solar'],[100.0],[1121],74
4575013,['Solar'],[100.0],[11346],74
4575014,"['Agropecuario', 'Vivienda', 'Trastero']","[27.31, 52.72, 19.96]","[301, 581, 220]",74
4575015,['Industrial'],[100.0],[561],74
4575016,['Industrial'],[100.0],[499],74
4575017,['Solar'],[100.0],[4232],74
4575018,"['Industrial', 'Oficina', 'Plaza Parking', 'Edificabilidad']","[35.65, 12.74, 12.11, 39.5]","[3023, 1080, 1027, 3350]",74
4575019,"['Industrial', 'Oficina']","[80.02, 19.98]","[7043, 1758]",74
4575020,['Solar'],[100.0],[2448],74
4575021,"['Vivienda', 'Agropecuario']","[32.79, 67.21]","[200, 410]",74
4575022,['Vivienda'],[100.0],[400],74
4575024,"['Vivienda', 'Trastero', 'Agropecuario']","[53.77, 17.3, 28.93]","[342, 110, 184]",74
4575025,"['Oficina', 'Industrial']","[7.83, 92.17]","[829, 9756]",74
4575026,"['Agropecuario', 'Vivienda']","[66.67, 33.33]","[300, 150]",74
4575027,"['Religioso', 'Vivienda']","[65.1, 34.9]","[250, 134]",74
4575028,"['Hosteleria', 'Vivienda', 'Trastero']","[52.08, 33.04, 14.88]","[175, 111, 50]",74
4575029,['Industrial'],[100.0],[1985],74
4575030,['Solar'],[100.0],[3634],74
4575031,"['Industrial', 'Oficina']","[84.3, 15.7]","[1514, 282]",74
4575032,['Solar'],[100.0],[2710],74
4575033,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[79.27, 12.95, 7.77]","[306, 50, 30]",74
4575034,"['Vivienda', 'Agropecuario']","[72.73, 27.27]","[160, 60]",74
4575035,"['Vivienda', 'Agropecuario', 'Trastero']","[53.33, 40.0, 6.67]","[160, 120, 20]",74
4575036,"['Vivienda', 'Garaje Cerrado']","[48.16, 51.84]","[144, 155]",74
4575037,"['Vivienda', 'Agropecuario']","[43.57, 56.43]","[386, 500]",74
4575038,"['Industrial', 'Vivienda', 'Almacen', 'Oficina']","[91.66, 1.52, 6.07, 0.76]","[11605, 192, 768, 96]",74
4575039,['Solar'],[100.0],[1305],74
4576001,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[23.61, 70.6, 5.79]","[106, 317, 26]",74
4576002,['Vivienda'],[100.0],[140],74
4576003,['Industrial'],[100.0],[8936],74
4576004,"['Garaje Cerrado', 'Agropecuario', 'Vivienda', 'Trastero']","[23.78, 21.08, 32.7, 22.43]","[88, 78, 121, 83]",74
4576005,"['Hosteleria', 'Vivienda']","[71.52, 28.48]","[462, 184]",74
4576006,"['Vivienda', 'Agropecuario']","[19.01, 80.99]","[138, 588]",74
4576007,"['Vivienda', 'Agropecuario']","[36.48, 63.52]","[332, 578]",74
4576008,"['Vivienda', 'Agropecuario', 'Trastero']","[14.78, 67.47, 17.74]","[220, 1004, 264]",74
4576009,['Religioso'],[100.0],[62],74
4576010,"['Vivienda', 'Agropecuario']","[31.45, 68.55]","[195, 425]",74
4576011,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado']","[31.92, 44.05, 18.99, 5.03]","[400, 552, 238, 63]",74
4576012,"['Garaje Cerrado', 'Vivienda', 'Jardin', 'Terraza']","[26.79, 60.71, 5.95, 6.55]","[90, 204, 20, 22]",74
4576013,"['Agropecuario', 'Vivienda', 'Garaje Cerrado']","[70.85, 18.67, 10.48]","[683, 180, 101]",74
4576014,"['Vivienda', 'Agropecuario']","[25.0, 75.0]","[200, 600]",74
4576015,"['Trastero', 'Jardin', 'Vivienda']","[29.8, 41.57, 28.63]","[76, 106, 73]",74
4577001,"['Agropecuario', 'Vivienda', 'Trastero']","[61.67, 15.15, 23.18]","[407, 100, 153]",74
4578001,['Agropecuario'],[100.0],[400],74
4578002,['Almacen'],[100.0],[57],74
4579001,"['Agropecuario', 'Vivienda']","[77.14, 22.86]","[270, 80]",74
4581001,"['Vivienda', 'Agropecuario']","[39.19, 60.81]","[136, 211]",30
4581003,['Agropecuario'],[100.0],[484],30
4582001,['Industrial'],[100.0],[643],30
4582002,"['Vivienda', 'Agropecuario', 'Trastero']","[22.45, 42.86, 34.69]","[110, 210, 170]",30
4582004,['Industrial'],[100.0],[3565],30
4582006,['Industrial'],[100.0],[44],30
4582007,"['Industrial', 'Oficina']","[84.99, 15.01]","[974, 172]",30
4582009,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[62.41, 28.72, 8.87]","[176, 81, 25]",30
4582010,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[41.07, 49.66, 6.7, 2.58]","[478, 578, 78, 30]",30
4582012,['Industrial'],[100.0],[750],30
4582014,['Almacen'],[100.0],[38],30
4582015,"['Local Comercial', 'Almacen']","[86.51, 13.49]","[2053, 320]",30
4582017,['Industrial'],[100.0],[1788],30
4582018,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[10.58, 4.23, 85.19]","[100, 40, 805]",30
4582019,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado']","[17.24, 73.79, 6.9, 2.07]","[100, 428, 40, 12]",30
4582020,['Industrial'],[100.0],[1459],30
4582021,"['Vivienda', 'Garaje Cerrado', 'Agropecuario']","[37.19, 13.22, 49.59]","[225, 80, 300]",30
4582022,"['Vivienda', 'Trastero']","[65.97, 34.03]","[126, 65]",30
4582023,['Vivienda'],[100.0],[624],30
4582024,"['Agropecuario', 'Vivienda']","[60.0, 40.0]","[150, 100]",30
4582025,"['Vivienda', 'Agropecuario', 'Trastero']","[25.27, 72.37, 2.35]","[161, 461, 15]",30
4582026,['Solar'],[100.0],[42],30
4582030,"['Vivienda', 'Trastero', 'Almacen']","[57.89, 36.84, 5.26]","[110, 70, 10]",30
4582035,['Solar'],[100.0],[375],30
4582036,['Solar'],[100.0],[375],30
4582037,['Solar'],[100.0],[375],30
4582038,['Solar'],[100.0],[375],30
4582039,['Solar'],[100.0],[375],30
4582040,['Solar'],[100.0],[375],30
4582041,['Solar'],[100.0],[375],30
4582042,['Solar'],[100.0],[375],30
4582043,['Solar'],[100.0],[375],30
4582044,['Solar'],[100.0],[375],30
4582045,['Solar'],[100.0],[375],30
4582046,['Solar'],[100.0],[375],30
4582047,['Solar'],[100.0],[375],30
4582048,['Solar'],[100.0],[375],30
4582049,['Solar'],[100.0],[375],30
4583001,"['Almacen', 'Educativo']","[15.38, 84.62]","[100, 550]",30
4583002,['Almacen'],[100.0],[32],30
4583003,"['Deportivo', 'Religioso']","[7.28, 92.72]","[86, 1095]",30
4583004,['Garaje Cerrado'],[100.0],[30],30
4583005,"['Hosteleria', 'Almacen', 'Vivienda']","[45.42, 19.49, 35.09]","[233, 100, 180]",30
4583006,"['Vivienda', 'Agropecuario']","[22.39, 77.61]","[90, 312]",30
4583007,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Almacen', 'Trastero']","[42.9, 36.03, 4.91, 8.3, 7.86]","[393, 330, 45, 76, 72]",30
4583008,"['Almacen', 'Vivienda']","[66.67, 33.33]","[220, 110]",30
4583009,['Vivienda'],[100.0],[205],30
4583010,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[70.76, 11.19, 18.05]","[196, 31, 50]",30
4583011,['Vivienda'],[100.0],[170],30
4583012,['Agropecuario'],[100.0],[149],30
4583013,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Trastero']","[35.03, 39.4, 8.41, 17.16]","[400, 450, 96, 196]",30
4583014,"['Vivienda', 'Agropecuario']","[19.71, 80.29]","[110, 448]",30
4583015,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[37.7, 13.77, 48.53]","[167, 61, 215]",30
4583016,"['Hosteleria', 'Trastero']","[72.76, 27.24]","[740, 277]",30
4583017,"['Vivienda', 'Agropecuario', 'Trastero']","[42.55, 31.91, 25.53]","[200, 150, 120]",30
4583018,['Vivienda'],[100.0],[69],30
4583019,"['Vivienda', 'Agropecuario', 'Trastero']","[42.63, 33.71, 23.66]","[191, 151, 106]",30
4583020,"['Vivienda', 'Agropecuario', 'Trastero']","[41.41, 42.42, 16.16]","[205, 210, 80]",30
4583021,['Agropecuario'],[100.0],[660],30
4583022,"['Vivienda', 'Agropecuario', 'Trastero']","[62.5, 25.0, 12.5]","[250, 100, 50]",30
4583023,"['Vivienda', 'Agropecuario']","[35.0, 65.0]","[140, 260]",30
4583024,"['Vivienda', 'Trastero']","[42.25, 57.75]","[526, 719]",30
4583025,"['Vivienda', 'Agropecuario', 'Trastero']","[31.67, 40.62, 27.71]","[400, 513, 350]",30
4584001,['Oficina'],[100.0],[80],30
4584002,"['Vivienda', 'Agropecuario', 'Trastero', 'Deposito']","[33.04, 33.04, 33.04, 0.87]","[340, 340, 340, 9]",32
4584004,"['Vivienda', 'Trastero', 'Almacen']","[35.24, 56.33, 8.44]","[259, 414, 62]",32
4584005,"['Vivienda', 'Agropecuario', 'Trastero']","[15.27, 35.11, 49.62]","[120, 276, 390]",32
4584006,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Deposito']","[21.11, 71.11, 6.23, 1.56]","[122, 411, 36, 9]",32
4584007,['Religioso'],[100.0],[312],32
4584008,"['Local Comercial', 'Vivienda', 'Almacen', 'Trastero', 'Garaje Cerrado']","[30.41, 13.03, 20.71, 30.41, 5.43]","[420, 180, 286, 420, 75]",32
4584009,"['Vivienda', 'Agropecuario']","[20.08, 79.92]","[153, 609]",32
4584010,"['Sanidad', 'Hosteleria']","[43.73, 56.27]","[164, 211]",32
4585001,"['Vivienda', 'Agropecuario', 'Trastero']","[16.45, 80.96, 2.59]","[140, 689, 22]",32
4585002,['Industrial'],[100.0],[48],32
4585003,"['Almacen', 'Deportivo']","[51.72, 48.28]","[60, 56]",32
4585004,"['Vivienda', 'Garaje Cerrado']","[83.43, 16.57]","[292, 58]",32
4585005,"['Vivienda', 'Agropecuario', 'Trastero', 'Garaje Cerrado']","[29.92, 29.92, 36.38, 3.77]","[278, 278, 338, 35]",32
4585006,"['Vivienda', 'Almacen']","[86.96, 13.04]","[40, 6]",32
4585007,['Vivienda'],[100.0],[166],32
4585008,['Vivienda'],[100.0],[50],32
