id,lon,lat,id
25439614,-2.4703433,43.1839773,25439614
25439615,-2.4700481,43.1838179,25439615
25439617,-2.4696683,43.1836219,25439617
25439619,-2.4693332,43.1835884,25439619
25439620,-2.4691255,43.1835803,25439620
25439622,-2.4689455,43.1830924,25439622
25439630,-2.468652,43.1840418,25439630
25439632,-2.4691804,43.1846594,25439632
25439633,-2.4694882,43.1846406,25439633
25439638,-2.4705959,43.1836988,25439638
25439642,-2.4718779,43.1832696,25439642
25439643,-2.471896,43.1832909,25439643
25439644,-2.4720959,43.1832932,25439644
25439650,-2.4712867,43.1850203,25439650
25439659,-2.4701155,43.1861195,25439659
25439660,-2.470237,43.1861446,25439660
25439664,-2.4708037,43.1858775,25439664
25439669,-2.4700023,43.1851586,25439669
25439670,-2.4705297,43.1856317,25439670
25439672,-2.4701326,43.1861923,25439672
25439983,-2.4655455,43.1845785,25439983
25439988,-2.4658542,43.1853159,25439988
25439996,-2.4642139,43.185767,25439996
25439998,-2.4638799,43.1859181,25439998
25440002,-2.4643022,43.1860669,25440002
25440009,-2.4660949,43.185858,25440009
25440017,-2.4665823,43.186016,25440017
25440029,-2.464631,43.1864664,25440029
25440034,-2.4655956,43.1866085,25440034
25440037,-2.4653616,43.1869896,25440037
25440065,-2.4622247,43.1874887,25440065
25440067,-2.4626572,43.187135,25440067
25440073,-2.4641123,43.1861347,25440073
25450554,-2.4644299,43.1872115,25450554
25450557,-2.4657188,43.1872077,25450557
25450560,-2.466304,43.1882807,25450560
25450646,-2.4625816,43.1828927,25450646
25452547,-2.4707281,43.1830896,25452547
25452550,-2.4711906,43.1831701,25452550
25452603,-2.4700599,43.1823358,25452603
25452607,-2.4698486,43.1821917,25452607
25452618,-2.4687998,43.1815029,25452618
25452620,-2.4684837,43.1810986,25452620
25452628,-2.4694149,43.1841625,25452628
25452647,-2.470481,43.1820027,25452647
25452653,-2.4705576,43.1823676,25452653
25494936,-2.4677148,43.1869521,25494936
25494937,-2.4679169,43.186867,25494937
25494942,-2.4691583,43.1864779,25494942
25494951,-2.4716457,43.1862601,25494951
25494955,-2.4721382,43.1859102,25494955
25494960,-2.4676794,43.1866524,25494960
25494963,-2.4672645,43.1868492,25494963
25494966,-2.4669332,43.1864193,25494966
25494967,-2.4672142,43.1863004,25494967
25494970,-2.4678422,43.1860291,25494970
25494995,-2.4717298,43.1870813,25494995
25495003,-2.4688296,43.1862301,25495003
25495060,-2.4618871,43.1872399,25495060
25495063,-2.4606626,43.1874866,25495063
25495065,-2.4597823,43.187889,25495065
25495070,-2.4576316,43.1885356,25495070
25495071,-2.457387,43.1885272,25495071
25495073,-2.4574837,43.1879262,25495073
25495084,-2.4572628,43.1860174,25495084
25495086,-2.4604889,43.1876171,25495086
25495090,-2.4609818,43.1878347,25495090
25495091,-2.4598021,43.1885733,25495091
25495097,-2.4607133,43.1884423,25495097
25499225,-2.4690379,43.1839588,25499225
25499226,-2.4693812,43.1839234,25499226
25506437,-1.948362,43.3102488,25506437
25506440,-1.9472801,43.3076772,25506440
25506454,-1.9533284,43.3021293,25506454
25506457,-1.9548573,43.3018478,25506457
25506459,-1.9563468,43.3015999,25506459
25506462,-1.9527769,43.302382,25506462
25506471,-1.9546271,43.296155,25506471
25506487,-1.9475957,43.2856044,25506487
25506496,-1.9486154,43.2842442,25506496
25506504,-1.9476498,43.2813324,25506504
25506505,-1.9474663,43.2814234,25506505
25506508,-1.9457726,43.281634,25506508
25506511,-1.9449211,43.2817196,25506511
25506516,-1.9461955,43.2826782,25506516
25506518,-1.9469918,43.2822682,25506518
25506523,-1.9480093,43.2818101,25506523
25506527,-1.9478353,43.2829305,25506527
25506546,-1.9542473,43.2949492,25506546
25524483,-2.4507917,43.1904615,25524483
25545299,-2.4815432,43.1857158,25545299
25545303,-2.4819179,43.186082,25545303
25545304,-2.481935,43.1861842,25545304
25545317,-2.4798468,43.1854394,25545317
25545321,-2.4820649,43.1851619,25545321
25545338,-2.4839391,43.184245,25545338
25545410,-2.4827563,43.1851474,25545410
25580823,-2.4767965,43.185518,25580823
25580824,-2.4767657,43.1854258,25580824
25580831,-2.4762466,43.1851368,25580831
25580832,-2.4757299,43.18508,25580832
25580833,-2.4753615,43.1850604,25580833
25580847,-2.4738573,43.1852894,25580847
25580855,-2.4753252,43.1853103,25580855
25580857,-2.4752306,43.185308,25580857
25580861,-2.4753279,43.1853548,25580861
25722377,-2.4617493,43.1816978,25722377
25722404,-2.46268,43.1863312,25722404
25722407,-2.4629286,43.18655,25722407
25722701,-2.4659337,43.1903742,25722701
25722705,-2.4672927,43.1898557,25722705
25722716,-2.4670048,43.1912832,25722716
25722717,-2.4670827,43.1914425,25722717
25722761,-2.4624744,43.1876364,25722761
25722763,-2.4627006,43.1877876,25722763
25722765,-2.4628701,43.1879243,25722765
25722775,-2.4629,43.1894121,25722775
25722777,-2.462812,43.1873732,25722777
25760444,-2.4754782,43.1832062,25760444
25760448,-2.4769818,43.1836454,25760448
25760600,-2.4736578,43.1823274,25760600
25760601,-2.4736419,43.1822256,25760601
25874006,-2.4718056,43.181547,25874006
26280216,-2.4210891,43.3214282,26280216
26280217,-2.4205498,43.3211511,26280217
26280218,-2.420256,43.320677,26280218
26280219,-2.4204877,43.3201712,26280219
26280223,-2.4231222,43.3204109,26280223
26280228,-2.4210187,43.3191905,26280228
26283659,-2.4234639,43.319261,26283659
26284057,-2.4250158,43.3185283,26284057
26284062,-2.4374839,43.3188526,26284062
26284063,-2.4358811,43.3184376,26284063
26284066,-2.4397372,43.3198873,26284066
