stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
5036,5036,"TXIRRITA KALEA, 8",43.26763983425846,-1.9753331638251515,0
1734,1734,KARABEL BIRIBILGUNEA,43.265770969359416,-1.9687724198823329,0
6,6,ZIKUÑAGA BAILARA,43.2648139722727,-1.9674948206362344,0
9002,9002,EPELE,43.26171037418551,-1.9500147066655629,0
9003,9003,FAGOLLAGA,43.248309113210375,-1.9516984962502721,0
9004,9004,EREÑOZU,43.24287614418439,-1.9405954687618037,0
9005,9005,LATXE,43.23825474179129,-1.9345544377652963,0
9006,9006,PIKOAGA,43.223536403953425,-1.924406208636136,0
4122,4122,PIKOAGA,43.22352716937038,-1.9243817447136593,0
4121,4121,LATXE,43.238191146836485,-1.934493965447245,0
3991,3991,EREÑOZU,43.24288423472419,-1.9404967921613923,0
3990,3990,FAGOLLAGA,43.24832757089949,-1.9517474522713176,0
3989,3989,EPELE,43.261791967226266,-1.9500749086400477,0
5177,5177,URBIETA KALEA,43.26751177401454,-1.9771220056673673,0
1726,1726,"OKENDO KALEA, 10",43.32231625947332,-1.9815431516711899,0
263,263,"URBIETA KALEA, 38",43.31614498393866,-1.9821888360458777,0
552,552,ALDAPETA GALTZADA - LONDAITZ,43.313916100481954,-1.989772856294296,0
265,265,AIETE PASEALEKUA - LA CUMBRE,43.310554165675356,-1.990420421342135,0
564,564,AIETE PASEALEKUA - IZABURU,43.309625348525806,-1.9912866033552463,0
553,553,AIETE PASEALEKUA - MUNTO ALDE,43.30816544926345,-1.992173864634313,0
292,292,"AIETE PASEALEKUA, 66 - MUNTO",43.30706295316855,-1.9927469321885596,0
268,268,AIETEKO JAUREGIA I,43.30428521379824,-1.9922503035170307,0
269,269,AIETE PASEALEKUA - ETXADI,43.30241752696295,-1.990801667277097,0
270,270,"ORIAMENDI PASEALEKUA, 20",43.298857074268376,-1.9914030096993496,0
271,271,ORIAMENDI PASEALEKUA - PAKEA,43.294756861894655,-1.99206250430933,0
272,272,"ORIAMENDI PASEALEKUA, 86",43.29094427685017,-1.990621608868104,0
273,273,"ORIAMENDI PASEALEKUA, 112",43.287027907218736,-1.9876295359005345,0
274,274,ORIAMENDI PASEALEKUA - GOIAZTXIKI,43.28509665327375,-1.9871438916926898,0
275,275,"ORIAMENDI PASEALEKUA, 164 - BENTATXIKI",43.28307441285856,-1.9896055026898194,0
276,276,"JAUREGI BAILARA, 78",43.27749636303169,-1.9870851160900398,0
277,277,SORGINTXULO AUZOA,43.272299921385546,-1.9839426857253646,0
278,278,"MARIELUTS AUZOA, 6",43.27030730624491,-1.980611769602188,0
2501,2501,"ANTZIOLA AUZOA, 17",43.27150321320363,-1.9763897228517564,0
2516,2516,ARGARAIN ANTZIOLA 2,43.26961185100416,-1.9753370469472467,0
5178,5178,"TXANTXILLA AUZOA, 7",43.2651575991982,-1.9786892999168306,0
282,282,"KAROBIETA AUZOA, 33",43.267846810668736,-1.9813675168117086,0
283,283,"MARIELUTS AUZOA, 48 - ERREPIDEA",43.27057221691833,-1.9830595539032763,0
284,284,"GALARRETA AUZOA, 1",43.27755862116419,-1.9869978148883232,0
285,285,BENTATXIKI,43.28375494977266,-1.9891751783503964,0
286,286,ORIAMENDI PASEALEKUA - GOIAZTXIKI,43.285175389386566,-1.9868837477968107,0
287,287,ORIAMENDI PASEALEKUA - INTXAURDEGI,43.28719203607592,-1.9878610076639756,0
288,288,ORIAMENDI PASEALEKUA - KATXOLA,43.29128791878361,-1.9907885008652058,0
289,289,ORIAMENDI PASEALEKUA - PAKEA,43.29484635011794,-1.9919993884244773,0
290,290,"ORIAMENDI PASEALEKUA, 11",43.29956647313685,-1.9911816979365342,0
291,291,"AIETE PASEALEKUA, 93",43.30201779938715,-1.9904014229621005,0
1729,1729,AIETEKO JAUREGIA II,43.30435713014786,-1.9922367859730348,0
293,293,"AIETE PASEALEKUA, 53 - MUNTO",43.307277725011176,-1.9925954247752653,0
563,563,"AIETE PASEALEKUA, 017 - IZA",43.30998340666592,-1.9910463998079004,0
295,295,"AIETE PASEALEKUA, 3 - LA CUMBRE",43.31084538923987,-1.9897497382525342,0
296,296,ALDAPETA GALTZADA - MARIANISTAK,43.31446885221917,-1.9871124236069693,0
3750,3750,"EASO KALEA, 9",43.31753219662991,-1.9842744743113945,0
322,322,GOIKO PLAZA - SAN MARTIN ELIZA,43.2199540485036,-2.020814022300965,0
323,323,AMA KANDIDA HIRIBIDEA,43.22315712652107,-2.0226220320341097,0
1720,1720,AMA KANDIDA HIRIBIDEA - KALETXIKI,43.221994513596265,-2.017247573138821,0
326,326,"GUDARIEN HIRIBIDEA, 2 - MARTIN UGALDE PARKEA",43.222936899883514,-2.014794450580196,0
327,327,"GUDARIEN HIRIBIDEA, 47 PAREAN",43.22679890195556,-2.0073932084509276,0
328,328,"GUDARIEN HIRIBIDEA, 57 PAREAN",43.22924612215206,-2.004053256049536,0
329,329,ERGOIEN AUZOA - XOXOKA,43.236072509707085,-1.999003485156377,0
330,330,"ERGOIEN AUZOA, 18  -  ERRATZU INDUSTRIALGUNEA",43.23803192657583,-1.9975673736772306,0
332,332,"SAN JOSE OBRERO,6.COLEGIO SALESIANOS (URNIETA)",43.24155942866721,-1.9952555619125694,0
334,334,IDIAZABAL KALEA - ERDIGUNEA,43.247283013076,-1.9928333903080526,0
335,335,"IDIAZABAL KALEA, 3 - ANBULATEGIA",43.24970053005602,-1.9912783852630642,0
336,336,OZTARAN AUZOA - LANGARDA,43.25561092093696,-1.9865732821008872,0
