stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
4091,,Suhiltzaileak - Bomberos,43.33050655480701,-1.8243974073087563,9,0
4097,,Gabiria,43.32839348470679,-1.8238091179980047,9,0
145,,Elatzeta,43.328322768063806,-1.8195674918520743,9,0
4088,,Andrearriaga 23,43.32987528176607,-1.8173171953781078,9,0
45,,Ugalde,43.330985400593676,-1.81408860027299,9,0
7075,,Elizatxo 38,43.33272383750003,-1.8054941655083434,9,0
4053,,Alai-Txoko,43.335301720608875,-1.7988687108912478,9,0
9008,,Gipuzkoa 15 (Ambulatorio),43.33751575627584,-1.795346275099119,9,0
1477,,Luis Mariano Plaza - Paseo Colón,43.34015028748199,-1.7932833054912314,9,0
4056,,Fermín Calbetón,43.339347663823816,-1.7889074092422745,9,0
100,,Zabaltza - Ensanche,43.34010698708233,-1.7925933105238414,9,0
1287,,Colón 52 - Topo,43.34080278574313,-1.7962435485932609,9,0
2068,,Urruña Plazatxoa,43.34235679204262,-1.7967433367032635,9,0
2096,,Lope De Irigoyen 31,43.344173343202854,-1.796522391584486,9,0
4177,,"Aranzaran Plaza, 1",43.34283783266935,-1.7988188231860154,9,0
106,,Zubiaurre Kalea 5,43.34175947889074,-1.7990251411444105,9,0
1483,,Colon Pas. 43,43.34079612006727,-1.7964657426126627,9,0
90,,Gipuzkoa Hirib. 6,43.339759355191596,-1.79463573656336,9,0
2104,,Gipuzkoa Hirib. 32,43.337544452573276,-1.7955060774843963,9,0
4098,,Euskal Herria 9,43.333585818373415,-1.792401813101893,9,0
345,,Larreaundi,43.3334470173643,-1.7894934318087545,9,0
2610,,Epa Olaberria 8,43.33136274911224,-1.789090778308868,9,0
4083,,Olaberria,43.32685993997044,-1.7881811889185362,9,0
7153,,San Jose Langilea,43.33354211641967,-1.7882703455901645,9,0
7154,,Urdanibia Plaza,43.33763985874358,-1.7857956381058533,9,0
4062,,Plaza Euskadi (Irun),43.34295951276981,-1.7596087114974026,9,0
4063,,Behobia,43.34240395961765,-1.7648509590612604,9,0
4064,,J.T. Labandibar,43.34167422904112,-1.7715030421501083,9,0
4065,,Azken Portu,43.341028631525134,-1.776796227111917,9,0
4066,,Dunboa Anbulategia,43.33971141648161,-1.7807703771374295,9,0
4067,,"Avda. Nafarroa, 21 (Irun)",43.339466092709856,-1.7839457728130914,9,0
4178,,Hondarribia Kalea,43.34248958616137,-1.7990971071288417,9,0
4068,,Gibeleta,43.3442262000623,-1.804997203601022,9,0
4069,,Hirubide,43.341914898532735,-1.8087189776477104,9,0
4070,,Puiana,43.33982613239457,-1.8113381720623496,9,0
4071,,Bidasoa Ospitalea,43.3416734031618,-1.814941536470777,9,0
2809,,Txingudi Ikastola,43.34294557229517,-1.816927757411463,9,0
7071,,Urdanibia Berri,43.3369596500414,-1.81711801042383,9,0
7072,,Aristegi Enbajadorea,43.339686834680144,-1.8117973431417338,9,0
4072,,Aldabe Mendia 13,43.33963041113059,-1.8107004895021597,9,0
4073,,Anaka 40,43.340782130506845,-1.8080255946659956,9,0
98,,Anaka 1,43.34095148888739,-1.8018291929653512,9,0
4074,,Geltoki - Estación,43.34080677061191,-1.7991919644461565,9,0
4075,,San Juan,43.33929364914444,-1.7889084829973338,9,0
4076,,"Avda. Nafarroa, 4 (Irun)",43.33936916431303,-1.7841450915907056,9,0
4077,,"Avda. Nafarroa, 18 (Irun)",43.33956416003538,-1.78131613195918,9,0
4078,,"Iglesia - Darío De Regoyos, 4 (Irun)",43.34051892422031,-1.7771272164697653,9,0
4797,,Dario Regoyos 10,43.34130271606552,-1.7754830131661172,9,0
4079,,Darío De Regoyos Cruce Con José Maria Franco (Irun),43.3414308996455,-1.771483275360543,9,0
4080,,"Darío De Regoyos, 58",43.34174356174147,-1.7662337537613384,9,0
4081,,Lastaola,43.341831005425625,-1.7618276752762627,9,0
5012,,Txingudi Merkataritza Gunea,43.32039853230428,-1.8362220550805524,9,0
15,,Arbes,43.336863827398254,-1.7814071530200053,9,0
4796,,Alzukaitz,43.336314102439474,-1.7779887722160903,9,0
315,,Blaia 22,43.336709,-1.77501,9,0
12,,Hilerria,43.33792909343965,-1.7707273624144382,9,0
13,,Harrobieta,43.340167062648035,-1.768671329867965,9,0
320,,José María Franco,43.34072182166678,-1.7708560625506373,9,0
14,,Portu Plazatxoa,43.341200549544645,-1.7726722602423097,9,0
4306,,César Figuerido,43.338575887093086,-1.776463046158953,9,0
7073,,Juan Wollmer 5,43.33785197476222,-1.779499951472267,9,0
4086,,Aduana,43.338032126097566,-1.7982104081022103,9,0
89,,La Salle,43.335294790554826,-1.799066218402816,9,0
121,,Olagizon - Ferrones,43.334198754215805,-1.8027391161305308,9,0
122,,Arturo Campión,43.33567212855499,-1.8041411137367092,9,0
5975,,Gobaragin Kalea (Lavanderas),43.33378267838252,-1.8077307834843932,9,0
5973,,Elizatxo 54,43.33148327744111,-1.8100083902386641,9,0
110,,Bizkaia 10,43.32966810476167,-1.8155697102102788,9,0
5976,,Andrearriaga 14,43.328502564770666,-1.8195393408953742,9,0
4090,,Aranibar,43.328558955118964,-1.8241389514046296,9,0
2064,,San Martzial Txingudi Udal Kirol Gunea,43.334777445814865,-1.7698781142958477,9,0
5978,,Elizatxo Hiribidea 36 - Oinaurre,43.33272396631652,-1.8055064981458133,9,0
85,,Arakistain,43.33019006738046,-1.8233920707323736,9,0
5971,,Araso (Polígono),43.324758655669996,-1.835534469092656,9,0
117,,Letxunborro 91,43.33080766057622,-1.821283234498255,9,0
