stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
4056,,Fermin Calbetón,43.339347663823816,-1.7889074092422745,9,0
100,,Colon-zabaltza,43.34010698708233,-1.7925933105238414,9,0
1287,,Colon 52-topo,43.34080278574313,-1.7962435485932609,9,0
4178,,Hondarribia Kalea,43.34248958616137,-1.7990971071288417,9,0
102,,Mendelu Kalea 17,43.34714876868011,-1.8011890863975883,9,0
1288,,N-638 - Amute,43.35119645809997,-1.7982097663410808,9,0
57,,Aeropuerto San Sebastian,43.35673940848777,-1.7944353759924105,9,0
52,,Sabin Arana Kalea 3,43.361734636054756,-1.789967728979747,9,0
7195,,Matxin Arzu-itsas Etxea,43.367304895392934,-1.793053613408263,9,0
104,,Itsasargi K. 20 - La Muela,43.371253161562905,-1.7934690287356359,9,0
4047,,Foru Kalea-arroka,43.3747899499956,-1.7967070091385682,9,0
1294,,Ramón Iribarren 15- Iterlimen,43.38032517320179,-1.7981900123937549,9,0
1292,,Ramon Iribarren Pas. - Lurgorri,43.38367978280345,-1.7960990758938418,9,0
654,,Gipuzkoa Plaza 11,43.32104748620295,-1.9816383445680348,1,0
24,,Mirakruz K. 26,43.32221825513564,-1.9736022860926992,1,0
108,,Jai Alai,43.32206370193461,-1.9664393885236353,1,0
4050,,Jose Elosegi 2 - Ategorrieta,43.32170996112625,-1.9592059308115368,1,0
27,,Mirakruz Gaina,43.321276108838795,-1.948200073349171,1,0
651,,Jose Elosegi 111,43.32051085946552,-1.9433295162440007,1,0
28,,Jose Elosegi 134 - Herrera,43.319950411172925,-1.9382335287732313,1,0
111,,Oleta / Escalerillas,43.32125188909426,-1.9310207970405555,1,0
4014,,Buenavista,43.320777831403404,-1.9217671950423516,1,0
30,,Nafarroa Hiribidea 5,43.319354328202046,-1.9188202412883217,1,0
208,,Nafarroa Hiribidea 24,43.31813372466696,-1.9154381885716125,1,0
179,,Sorgintxulo 11,43.316331712263406,-1.9096372661918823,1,0
180,,Kristobal Gamon Ikastetxea,43.31761994989249,-1.9078137374189772,1,0
181,,Alaberga.telefonica,43.31520447525814,-1.9075733755183988,1,0
182,,Beraungo Anbulategia,43.31414276783825,-1.9104902817806633,1,0
1715,,Galtzaraborda Etorb. 61,43.31168715885521,-1.9126550737721215,1,0
1716,,Galtzaraborda Etorb. - Koldo Mitxelena,43.310952595274316,-1.9083277348253151,1,0
126,,Iparralde Etorbidea-eliza,43.30010931519302,-1.8601320847289469,1,0
130,,Arraskularre,43.29669413401504,-1.858075491035952,1,0
131,,Altzibar,43.29345365657221,-1.8572855534427741,1,0
132,,Peñene,43.29262275195655,-1.8597418716432235,1,0
133,,Iturriotz,43.2931777102426,-1.8657471649933592,1,0
134,,Ibarre,43.29626797136786,-1.8722974242078718,1,0
135,,Ugaldetxo,43.299051754715016,-1.8770170496237228,1,0
4105,,Astigarragako Bidea 3,43.299527935016386,-1.8805835399207698,1,0
136,,Mamut Merk.gunea,43.30117741889679,-1.8816751944623609,1,0
137,,Arragua,43.30894180808331,-1.8819397368032305,1,0
4166,,Nafarroa Hiribidea 2,43.31080690553055,-1.8848279314429917,1,0
80,,Nafarroa Hiribidea,43.31073841601165,-1.8907479365651865,1,0
79,,Gamon Zumardia,43.31279749947261,-1.8969623771249196,1,0
138,,Diputazio Pl.,43.31495943401207,-1.9026697915164075,1,0
139,,"Kaputxinoak, Biribilgunea",43.317663075256846,-1.9123388607194747,1,0
78,,Renfe,43.31898254931637,-1.9175935931880457,1,0
648,,Buenavista,43.320913107314084,-1.9217894681299996,1,0
140,,Oleta / Escalerillas,43.321373766723305,-1.9315366416386084,1,0
649,,Herrera,43.31992115123745,-1.9389616620425076,1,0
650,,Gaiztarro,43.3207190667137,-1.9434492352105561,1,0
174,,Mirakruz Gaina,43.321401593247074,-1.9500971760781967,1,0
177,,Ategorrieta 65,43.32196159516142,-1.9621245612510176,1,0
95,,Nafarroa Hirib. 31,43.32328757569839,-1.9673559686003956,1,0
142,,Nafarroa Hirib. 7 - Okendo Kultur Etxea,43.32549299300779,-1.9702787049624866,1,0
96,,Zurriola - Kursaal,43.32471415035419,-1.976803993598501,1,0
653,,Gipuzkoa Plaza 10,43.32129199627484,-1.981794587845425,1,0
5012,,Txingudi Merk. Gunea,43.32039853230428,-1.8362220550805524,9,0
5970,,Araso Biribilgunea,43.32319135662581,-1.8337144229180486,9,0
5976,,Andrearriaga 14,43.328502564770666,-1.8195393408953742,9,0
45,,Elizatxo Hiribidea 60,43.330985400593676,-1.81408860027299,9,0
5977,,Elizatxo Hiribidea-piketazaharra,43.33196751369219,-1.8072235570781092,9,0
5974,,Gobaragin Kalea-lavanderas,43.33375412779399,-1.8075833176469625,9,0
5980,,Monte Aldabe 49,43.33829739696593,-1.8106648293852685,9,0
214,,Puiana,43.340486231237925,-1.8124726091214414,9,0
4071,,Bidasoa Ospitalea,43.3416734031618,-1.814941536470777,9,0
7072,,Aristegi Enbajadorea,43.339686834680144,-1.8117973431417338,9,0
4728,,Letxunborro Hirib. - Gibanaka,43.343673973310295,-1.8055755566138925,9,0
50,,Kaputxinoak,43.35283859086231,-1.7976714497363857,9,0
1290,,Kosta Kalea 3dir. Hondarribia,43.358116930108196,-1.7969872234505428,9,0
5864,,Minasoroeta Kalea 17,43.3611418822666,-1.7935213543490416,9,0
53,,Sabin Arana - Ama Guadalupekoa Ikastetxea,43.365568484506944,-1.792335194748118,9,0
1296,,Ramon Iribarren Pas 15 - Iterlimen,43.38072296558637,-1.7983426375410934,9,0
