stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
1727,1727,"OKENDO KALEA, 18",43.32147359223045,-1.9809529157050938,0
461,461,"URBIETA KALEA, 20",43.3173143876371,-1.9830695580633944,0
217,217,MENDEURRENAREN PLAZA - CENTENARIO,43.312670450057134,-1.9802985067337924,0
198,198,"ANTSO JAKITUNAREN HIRIBIDEA, 26",43.308803511932794,-1.9798452843101344,0
218,218,AITA DONOSTIA PLAZA - ANOETA,43.30279982696628,-1.9750633438817744,0
258,258,TORIBIO ALTZAGA KALEA - ARCCO,43.30494785077449,-1.9736093503855934,0
736,736,"BARCELONA HIRIBIDEA, 28",43.31112645350099,-1.9717790544741125,0
219,219,LOIOLA ZEHARBIDEA - LA SALLE,43.31056351847221,-1.9682619595710786,0
220,220,"LOIOLA ZEHARBIDEA, 12",43.30865952358699,-1.9668145282730798,0
4099,4099,AINTZIETA PASEALEKUA - HIPIKA 12,43.30666216324769,-1.9659975963716267,0
459,459,TXOMIN ENEA,43.305100387127695,-1.9625717788457908,0
222,222,"AINTZIETA PASEALEKUA, 31",43.303723468636726,-1.960671819507383,0
223,223,MARTUTENE PASEALEKUA - RENFE,43.29907181739849,-1.956127915620711,0
516,516,"MARTUTENE PASEALEKUA, 67 - FUTBOL ZELAIA",43.2973108190125,-1.9545800550804449,0
224,224,MARTUTENE PASEALEKUA - IBAI ALDE,43.29547666776502,-1.953896474714941,0
247,247,"MARTUTENE PASEALEKUA, 94",43.291864711636336,-1.951801177752983,0
1702,1702,"DONOSTIA IBILBIDEA, 38 - HEZEGUNEA",43.28312625806468,-1.9493875997883845,0
227,227,PELOTARI KALEA - ELIZONDO ETXEA,43.28160768487567,-1.9477745269780176,0
228,228,"KALE NAGUSIA, 3",43.28041928664094,-1.9497546243273884,0
417,417,TRANBIA IBILBIDEA - ERRIBERA KULTURGUNEA,43.27857780830769,-1.952201854336525,0
229,229,"TRANBIA IBILBIDEA, 28 - ERGOBIA",43.27607465912306,-1.954179637311909,0
4206,4206,"TROIA IBILBIDEA, 22",43.2723858818386,-1.9545139167870424,0
241,241,MARTINDEGI BAILARA - BIRIBILGUNEA,43.26924954872155,-1.9561818362274905,0
234,234,"AKERREGI BAILARA, 4",43.26670958825544,-1.9650230498177048,0
1734,1734,KARABEL BIRIBILGUNEA,43.265770969359416,-1.9687724198823329,0
6,6,ZIKUÑAGA BAILARA,43.2648139722727,-1.9674948206362344,0
4101,4101,"GARTZIA GOLDARATZ, 1",43.268191897885885,-1.9736357662147663,0
5036,5036,"TXIRRITA KALEA, 8",43.26763983425846,-1.9753331638251515,0
237,237,ZINKOENEA PLAZA,43.26788501765895,-1.9735546683327294,0
239,239,"AKERREGI BAILARA, 3",43.266637006002114,-1.9649626704441878,0
240,240,"MARTINDEGI BAILARA, 21",43.26979997785049,-1.9553221777513035,0
242,242,TRANBIA IBILBIDEA - ERGOBIA,43.27608129587143,-1.9539207249234578,0
418,418,TRANBIA IBILBIDEA - MUNDARRO ERREKA,43.27836342824769,-1.9523903965039247,0
1701,1701,DONOSTIA IBILBIDEA - LEKUEDER,43.280462650958476,-1.95055497943572,0
4478,4478,DONOSTIA IBILBIDEA - PELOTARI BIRIBILGUNEA,43.28302722469135,-1.9493893041704367,0
1703,1703,"GALTZAUR KALEA, 24",43.28216847640103,-1.945114991417035,0
1704,1704,"GALTZAUR KALEA, 8",43.283906222684294,-1.9470570146719923,0
515,515,"MARTUTENE PASEALEKUA, 141",43.28788778237387,-1.9482086171620585,0
246,246,"MARTUTENE PASEALEKUA, 125",43.291627469653875,-1.9514600997314797,0
249,249,"MARTUTENE PASEALEKUA, 89 - LARRUMENDI",43.29535028716149,-1.9538616584273054,0
517,517,MARTUTENE PASEALEKUA - FUTBOL ZELAIA,43.29737395286509,-1.9545913014135265,0
250,250,"MARTUTENE PASEALEKUA, 53 - RENFE",43.29899833049844,-1.955968904016681,0
251,251,"MARTUTENE PASEALEKUA, 17",43.30241867631543,-1.9577967178475055,0
252,252,AINTZIETA PASEALEKUA,43.30374113862316,-1.9606345304387356,0
253,253,AINTZIETA PASEALEKUA - LOIOLA RENFE,43.30480423074265,-1.9636741458820757,0
5260,5260,ANTZIETA PASEALEKUA - HIPIKA,43.306769642474805,-1.9659341246146578,0
255,255,LOIOLA ZEHARBIDEA - BATXILLARDEGI,43.30866652170013,-1.966592463693142,0
257,257,LOIOLA ZEHARBIDEA - TOPOA,43.30988805743442,-1.9672499479729186,0
733,733,"BARCELONA HIRIBIDEA, 35",43.311228590182616,-1.972122596381683,0
734,734,"BARCELONA HIRIBIDEA, 15",43.309055750771556,-1.9718139644531598,0
4280,4280,GREGORIO ORDOÑEZ,43.30584937448069,-1.9737298082239874,0
735,735,"MADRIL HIRIBIDEA, 19",43.30342468411287,-1.975459711561634,0
259,259,"MADRIL HIRIBIDEA, 3",43.30541489231342,-1.9774976705489526,0
260,260,"ANTSO JAKITUNAREN HIRIBIDEA, 33",43.30819722595527,-1.97951017822709,0
4006,4006,GERNIKAKO ARBOLAREN PASEALEKUA,43.313904185482045,-1.979303696287893,0
4146,4146,MARIA CRISTINA ZUBIA,43.31770874044431,-1.978820715272247,0
2860,2860,"BIZKAIA PASEALEKUA, 2 - MUNDAIZ ZUBIA",43.31108457315988,-1.9791659254697471,0
4479,4479,DONOSTIA IBILBIDEA- INDUSTRIALGUNEA,43.28043914627109,-1.9509374469217473,0
