stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
75,,Bizkaia,43.283903953087865,-2.1761606997237655,3,0
667,,Urkidi,43.283663937142926,-2.179097366789413,3,0
645,,Sarakatua,43.28421594955308,-2.1795496366458527,3,0
652,,Allemendi,43.28498615671433,-2.1814091238406528,3,0
658,,Barandiaran,43.283855999835815,-2.1807409593769442,3,0
660,,Nafarroa,43.286664477799306,-2.174934274289196,3,0
4908,,Antoniano,43.28558518346053,-2.173303095689421,3,0
664,,Geltokia,43.28438968749247,-2.1708778547396665,3,0
659,,Eguneko Zentroa,43.28499161026096,-2.1656017717337286,3,0
662,,Iñurritza (Ikastola),43.28461766250189,-2.1603867295812567,3,0
699,,Talaimendi N-634,43.284148982587965,-2.1563470652047005,3,0
661,,Mª Etxetxiki,43.282952955098565,-2.160938364564988,3,0
693,,Mª Etxetxiki Buztinzuri (Orokieta),43.28096543432215,-2.1616895142839265,3,0
663,,Itxasmendi,43.280931240614585,-2.1599222713105335,3,0
813,,Araba - Hegoalde,43.28081771988573,-2.1652395891014713,3,0
665,,Kiroldegia,43.280978752057976,-2.1688669260599474,3,0
657,,Azken Portu,43.28197703272667,-2.174784605386015,3,0
666,,Urdaneta - Lanpardo,43.27964331752892,-2.1747022761470647,3,0
3216,,La Salle Ikastetxea,43.27881468813209,-2.1759212626892097,3,0
4468,,Lanpardo - Izeta Plaza,43.281012948766495,-2.176034590916289,3,0
655,,Anbulategia,43.28202316900105,-2.1781405227514,3,0
672,,Bixkonde,43.286824142513694,-2.1752144578824417,3,0
673,,Bizkaia 2,43.28363695461558,-2.1757009535196,3,0
678,,Pontalier,43.28471066904332,-2.160040953519607,3,0
422,,Nafarroa-Iñurritza,43.28586000055199,-2.162761364564974,3,0
414,,Nafarroa Kalea- Gurutze Gorria,43.28606865179965,-2.169192052616575,3,0
676,,Hiruerreketa,43.2831166444437,-2.18462013301689,3,0
677,,Hiruerreketa Parkina,43.281942637228205,-2.189609128130588,3,0
